date;symbol;interval;estimator;fix_imbalance_method;stop_loss;times_regression_profit_and_loss;features;CAI;ESTAVEL;SOBE;max_score
2023-10-20 09:49:53;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4436;0.1535;0.431;0.4436
2023-10-20 09:33:47;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'taker_buy_quote_asset_volume'];0.4436;0.2704;0.3477;0.4436
2023-10-20 09:42:41;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume'];0.4383;0.1565;0.4445;0.4445
2023-10-20 09:49:35;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];0.4466;0.2192;0.4328;0.4466
2023-10-20 09:34:42;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'number_of_trades'];0.4152;0.1784;0.4485;0.4485
2023-10-20 09:33:06;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'number_of_trades'];0.4045;0.2442;0.4496;0.4496
2023-10-20 09:40:52;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_base_asset_volume'];0.4515;0.2016;0.3791;0.4515
2023-10-20 09:36:04;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades'];0.4053;0.2546;0.4518;0.4518
2023-10-20 09:46:16;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume'];0.4519;0.2381;0.3481;0.4519
2023-10-20 09:50:19;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'ema_24p'];0.3879;0.2497;0.4522;0.4522
2023-10-20 09:47:20;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.425;0.1876;0.4522;0.4522
2023-10-20 09:35:28;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'taker_buy_quote_asset_volume'];0.4538;0.3654;0.3024;0.4538
2023-10-20 09:44:46;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4364;0.1346;0.4543;0.4543
2023-10-20 09:39:26;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades'];0.4167;0.1772;0.4562;0.4562
2023-10-20 09:36:24;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume'];0.461;0.2028;0.3901;0.461
2023-10-20 09:41:13;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_quote_asset_volume'];0.4614;0.1626;0.3941;0.4614
2023-10-20 09:42:03;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'ema_24p'];0.3761;0.246;0.462;0.462
2023-10-20 09:48:25;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4667;0.1523;0.4167;0.4667
2023-10-20 09:44:08;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'ema_24p'];0.3701;0.26;0.4668;0.4668
2023-10-20 09:40:10;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_quote_asset_volume'];0.467;0.2016;0.3641;0.467
2023-10-20 09:42:23;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'taker_buy_quote_asset_volume', 'ema_24p'];0.4674;0.1882;0.4248;0.4674
2023-10-20 09:43:06;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_quote_asset_volume'];0.3617;0.2935;0.4679;0.4679
2023-10-20 09:35:23;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'taker_buy_quote_asset_volume'];0.4708;0.2284;0.3422;0.4708
2023-10-20 09:41:17;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_quote_asset_volume'];0.4727;0.324;0.3002;0.4727
2023-10-20 09:43:02;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_quote_asset_volume'];0.4731;0.2418;0.386;0.4731
2023-10-20 09:53:45;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];0.3432;0.335;0.4741;0.4741
2023-10-20 09:38:25;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4746;0.1821;0.3871;0.4746
2023-10-20 09:41:55;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4746;0.2192;0.3839;0.4746
2023-10-20 09:45:53;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];0.4754;0.2314;0.401;0.4754
2023-10-20 09:33:34;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'taker_buy_quote_asset_volume'];0.4765;0.0767;0.4701;0.4765
2023-10-20 09:49:13;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_quote_asset_volume', 'ema_24p'];0.4773;0.321;0.344;0.4773
2023-10-20 09:53:19;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];0.4814;0.3776;0.3126;0.4814
2023-10-20 09:51:30;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4814;0.0786;0.4777;0.4814
2023-10-20 09:47:07;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4742;0.1127;0.4825;0.4825
2023-10-20 09:43:32;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.472;0.0974;0.4832;0.4832
2023-10-20 09:52:56;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];0.3386;0.3118;0.4836;0.4836
2023-10-20 09:42:29;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume'];0.4784;0.0706;0.485;0.485
2023-10-20 09:48:30;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.486;0.2948;0.2995;0.486
2023-10-20 09:38:30;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4867;0.3618;0.2608;0.4867
2023-10-20 09:46:33;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_quote_asset_volume'];0.4909;0.1553;0.3817;0.4909
2023-10-20 09:51:43;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4231;0.1291;0.492;0.492
2023-10-20 09:39:59;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_quote_asset_volume'];0.4924;0.1029;0.4726;0.4924
2023-10-20 09:46:21;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_quote_asset_volume'];0.4837;0.0804;0.4927;0.4927
2023-10-20 09:45:11;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_base_asset_volume', 'ema_24p'];0.3496;0.2935;0.4934;0.4934
2023-10-20 09:48:52;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'ema_24p'];0.3489;0.2667;0.4942;0.4942
2023-10-20 09:36:08;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades'];0.3545;0.2789;0.4945;0.4945
2023-10-20 09:52:33;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_quote_asset_volume', 'ema_24p'];0.3288;0.3252;0.4956;0.4956
2023-10-20 09:49:19;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];0.464;0.0914;0.496;0.496
2023-10-20 09:42:09;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_quote_asset_volume', 'ema_24p'];0.4686;0.0853;0.4963;0.4963
2023-10-20 09:53:41;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];0.3386;0.2935;0.4989;0.4989
2023-10-20 09:36:14;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume'];0.4996;0.0987;0.4543;0.4996
2023-10-20 09:47:46;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'ema_24p'];0.3133;0.271;0.5007;0.5007
2023-10-20 09:48:57;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_quote_asset_volume', 'ema_24p'];0.5027;0.0956;0.4609;0.5027
2023-10-20 09:48:07;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];0.2947;0.3453;0.5033;0.5033
2023-10-20 09:40:34;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'ema_24p'];0.3004;0.2783;0.5037;0.5037
2023-10-20 09:37:14;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_base_asset_volume'];0.5038;0.0719;0.4467;0.5038
2023-10-20 09:43:44;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.5053;0.1833;0.3689;0.5053
2023-10-20 09:44:34;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.5076;0.0719;0.4817;0.5076
2023-10-20 09:49:40;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4663;0.0713;0.5088;0.5088
2023-10-20 09:39:14;ETHUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades'];0.5098;0.0639;0.4602;0.5098
2023-10-20 09:39:08;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'taker_buy_quote_asset_volume', 'ema_24p'];0.3375;0.19;0.5099;0.5099
